city,ZipCode,Price,HospitalDistance,Bank/ATM,SchoolDistance,SoldDate,BiddedDate,DistToTown,isfloodedArea,IsTsunmaiAlertedArea,Latitude,Longtitude
Homagama,10200,625000,1.5,1.5,1.7,,3/25/2026,0.5,0,0,6.8433,80.0032
Homagama,10200,395000,1.3,1.5,1.7,,3/25/2026,0.2,0,0,6.8433,80.0032
Homagama,10200,700000,1.5,1.5,1,,3/25/2026,0.3,0,0,6.8433,80.0032
Homagama,10200,550000,1.5,1.5,1.7,,3/25/2026,1,1,0,6.8433,80.0032
Horana,12400,250000,1.5,1.5,0.7,,3/25/2026,0.1,0,0,6.7167,80.0667
Horana,12400,260000,1.5,1.5,0.7,,3/25/2026,0.8,0,0,6.7167,80.0667
Horana,12400,2750000,1.5,1.5,0.45,,3/25/2026,0.4,0,0,6.7167,80.0667
Kaduwela,10640,2800000,0.45,0.4,0.4,,3/25/2026,0.51,0,0,6.9356,79.9839
Kaduwela,10640,2800000,5.5,5.5,0.6,,3/25/2026,0.5,0,0,6.9356,79.9839
Kahathuduwa,10206,795000,8.5,8.5,0.6,,3/25/2026,0.4,0,0,6.7645,79.9984
Kahathuduwa,10206,1000000,8.5,3,0.66,,3/25/2026,0.2,0,0,6.7645,79.9984
Kaluaggala,10700,650000,6,6,0.5,,3/25/2026,0.1,0,0,6.9234,80.1054
Kaluaggala,10700,650000,6,6,0.8,,3/25/2026,1,0,0,6.9234,80.1054
Kalubowila,10350,6400000,0.5,0.5,0.3,,3/25/2026,0.2,0,0,6.8665,79.8735
Katubedda,10400,2950000,3.5,3.5,0.6,,3/25/2026,0.3,0,0,6.797,79.8988
Kiriwaththuduwa,10208,625000,1.3,7,0.7,,3/25/2026,0.4,0,0,6.8042,80.0152
Kotikawaththa,10620,1100000,2.5,2.5,0.4,,3/25/2026,0.1,0,0,6.91,79.95
Kottawa,10230,565000,0.6,5.1,1.2,,3/25/2026,1,0,0,6.8414,79.9647
Kottawa,10230,722222,5.5,5.1,1.2,,3/25/2026,0.1,0,0,6.8414,79.9647
Kotte,10100,2222222,2.5,2.5,0.5,,3/25/2026,0.4,0,0,6.9,79.9167
Kotte,10100,2700000,2.5,2.1,0.35,,3/25/2026,0.5,0,0,6.9,79.9167
Kotte,10100,4000000,0.1,2.1,1.2,,3/24/2026,1,0,0,6.9,79.9167
Maharagama,10280,2650000,1.1,2,0.9,,3/25/2026,0.3,0,0,6.848,79.9265
Maharagama,10280,3000000,0.5,2,0.9,,3/25/2026,0.2,0,0,6.848,79.9265
Maharagama,10280,2500000,2,2,0.9,,3/25/2026,0.18,0,0,6.848,79.9265
Malabe,10115,1800000,3.8,2.5,1.4,,3/25/2026,1.3,0,0,6.9036,79.9547
Malabe,10115,2400000,2.5,2.5,1.4,,3/25/2026,0.3,0,0,6.9036,79.9547
Malabe,10115,2500000,3.8,2.5,1.6,,3/25/2026,0.5,0,0,6.9036,79.9547
Malabe ,10115,1175000,3.8,1.4,0.3,,3/25/2026,0.35,0,0,6.9036,79.9547
Malabe / Kaduwela,10115,1175000,4,4,1.6,,3/25/2026,1,0,0,6.9196,79.9693
Mattegoda,10230,2600000,4.5,4.5,0.4,,3/25/2026,0.2,0,0,6.8188,79.9564
Meegoda,10504,675000,5.5,5.5,0.8,,3/25/2026,0.3,0,0,6.8378,80.0573
Meepe,10500,375000,3,0.6,0.8,,3/25/2026,0.8,0,0,6.8408,80.0897
